route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
B,ESP2_2,ESP2_B_2_4.B20,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B21,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B22,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B23,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B24,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B25,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B26,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B27,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B28,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B29,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B30,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B31,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B32,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B33,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B34,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B35,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B36,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B37,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B38,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B39,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B40,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B41,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B041,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B042,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B043,Odivelas,1,ESP2_shp_amarela_ra-od
A,ESP2_2,ESP2_A_2_4.A2,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A3,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A4,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A5,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A6,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A7,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A8,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A9,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A10,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A11,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A12,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A13,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A14,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A15,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A16,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A17,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A18,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A19,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A20,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A21,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A22,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A23,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A24,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A25,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A26,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A27,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A28,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A29,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A30,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A31,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A32,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A33,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_4.A033,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_4.A034,Reboleira,1,ESP2_shp_azul_sp-rb
